id_x,sql_text,execution_time_ms,rows_examined,rows_returned,joins_count,index_used,complexity_score,is_select_star,efficiency_ratio,query_type
45,SELECT * FROM employees WHERE hire_date < '2025-01-01';,5.0,2000,1488,0,,6,True,0.7436281859070465,SELECT
46,SELECT * FROM employees WHERE hire_date BETWEEN '2021-01-01' AND '2026-01-01';,7.0,2000,1494,0,,6,True,0.7466266866566716,SELECT
47,SELECT COUNT(*) FROM employees WHERE first_name LIKE 'M%';,3.0,2000,1,0,,6,True,0.0004997501249375312,SELECT
48,SELECT COUNT(*) FROM employees WHERE last_name LIKE 'D%';,3.0,2000,1,0,,6,True,0.0004997501249375312,SELECT
49,SELECT AVG(salary) FROM salaries;,8.0,2000,1,0,,6,False,0.0004997501249375312,SELECT
50,SELECT MAX(salary) FROM salaries;,5.0,2000,1,0,,6,False,0.0004997501249375312,SELECT
51,SELECT MIN(salary) FROM salaries;,3.0,2000,1,0,,6,False,0.0004997501249375312,SELECT
52,SELECT SUM(salary) FROM salaries;,3.0,2000,1,0,,6,False,0.0004997501249375312,SELECT
53,"SELECT emp_no, salary FROM salaries WHERE salary > 15000;",6.0,2000,1162,0,,6,False,0.5807096451774113,SELECT
54,"SELECT emp_no, salary FROM salaries WHERE salary < 10000;",5.0,2000,358,0,,6,False,0.17891054472763618,SELECT
55,"SELECT emp_no, salary FROM salaries WHERE emp_no > 1000;",7.0,2000,1502,0,,6,False,0.750624687656172,SELECT
56,SELECT * FROM employees e JOIN salaries s ON e.emp_no = s.emp_no WHERE e.emp_no = 510;,3.0,2,1,1,PRIMARY,3,True,0.3333333333333333,SELECT
57,SELECT * FROM employees e JOIN salaries s ON e.emp_no = s.emp_no WHERE e.emp_no = 1000;,2.0,2,1,1,PRIMARY,3,True,0.3333333333333333,SELECT
58,SELECT * FROM employees e JOIN salaries s ON e.emp_no = s.emp_no WHERE s.salary > 20000;,8.0,2001,626,1,,8,True,0.3126873126873127,SELECT
59,"SELECT e.first_name, s.salary FROM employees e JOIN salaries s ON e.emp_no = s.emp_no WHERE e.emp_no BETWEEN 600 AND 650;",2.0,52,51,1,PRIMARY,3,False,0.9622641509433962,SELECT
60,"SELECT e.last_name, s.salary FROM employees e JOIN salaries s ON e.emp_no = s.emp_no WHERE s.salary < 15000;",6.0,2001,838,1,,8,False,0.41858141858141856,SELECT
61,"SELECT first_name, last_name FROM employees WHERE emp_no IN (SELECT emp_no FROM salaries WHERE salary > 25000);",9.0,1,88,0,,9,False,44.0,SELECT
62,SELECT * FROM salaries ORDER BY salary DESC LIMIT 10;,10.0,0,10,0,,1,True,10.0,SELECT
63,SELECT * FROM employees ORDER BY hire_date ASC LIMIT 5;,6.0,0,5,0,,1,True,5.0,SELECT
64,SELECT DISTINCT last_name FROM employees;,4.0,0,95,0,,1,False,95.0,SELECT
65,SELECT DISTINCT first_name FROM employees;,5.0,0,98,0,,1,False,98.0,SELECT
66,"SELECT last_name, COUNT(*) FROM employees GROUP BY last_name;",5.0,0,95,0,,1,True,95.0,SELECT
67,"SELECT first_name, COUNT(*) FROM employees GROUP BY first_name;",6.0,0,98,0,,1,True,98.0,SELECT
68,"SELECT emp_no, COUNT(*) FROM salaries GROUP BY emp_no;",6.0,0,2000,0,,1,True,2000.0,SELECT
69,SELECT * FROM employees WHERE first_name = 'William' AND emp_no > 503;,4.0,1999,0,0,PRIMARY,1,True,0.0,SELECT
70,SELECT * FROM employees WHERE first_name = 'James' OR last_name = 'Smith';,2.0,2000,0,0,,6,True,0.0,SELECT
71,"SELECT * FROM employees WHERE emp_no NOT IN (505, 510, 515);",9.0,1997,1997,0,PRIMARY,1,True,0.9994994994994995,SELECT
72,SELECT * FROM salaries WHERE salary * 1.1 > 20000;,8.0,2000,820,0,,6,True,0.4097951024487756,SELECT
73,SELECT * FROM employees WHERE YEAR(hire_date) = 2024;,5.0,2000,300,0,,6,True,0.14992503748125938,SELECT
74,SELECT * FROM employees WHERE MONTH(hire_date) = 1;,4.0,2000,152,0,,6,True,0.07596201899050475,SELECT
75,SELECT * FROM employees WHERE DAY(hire_date) = 1;,4.0,2000,72,0,,6,True,0.035982008995502246,SELECT
76,"SELECT e.first_name, s.salary FROM employees e LEFT JOIN salaries s ON e.emp_no = s.emp_no WHERE e.emp_no > 1400;",26.0,1103,1102,1,PRIMARY,3,False,0.9981884057971014,SELECT
77,"SELECT e.first_name, s.salary FROM employees e INNER JOIN salaries s ON e.emp_no = s.emp_no WHERE s.salary != 0;",12.0,2001,2000,1,,8,False,0.999000999000999,SELECT
78,SELECT * FROM salaries WHERE salary > (SELECT AVG(salary) FROM salaries);,6.0,2000,1021,0,,9,True,0.5102448775612194,SELECT
79,SELECT * FROM employees WHERE emp_no = (SELECT emp_no FROM salaries ORDER BY salary DESC LIMIT 1);,4.0,1,1,0,PRIMARY,4,True,0.5,SELECT
80,"SELECT * FROM employees WHERE first_name IN ('Barbara', 'Susan', 'Jessica');",3.0,2000,0,0,,6,True,0.0,SELECT
81,"SELECT last_name, AVG(salary) FROM employees e JOIN salaries s ON e.emp_no = s.emp_no GROUP BY last_name;",11.0,0,95,1,,3,False,95.0,SELECT
82,"SELECT first_name, SUM(salary) FROM employees e JOIN salaries s ON e.emp_no = s.emp_no GROUP BY first_name;",12.0,0,98,1,,3,False,98.0,SELECT
83,SELECT * FROM employees WHERE emp_no % 2 = 0 AND emp_no > 503;,4.0,1999,1000,0,PRIMARY,1,True,0.5,SELECT
84,SELECT * FROM employees WHERE emp_no % 2 != 0 AND emp_no > 503;,5.0,1999,999,0,PRIMARY,1,True,0.4995,SELECT
85,SELECT COUNT(*) FROM employees WHERE first_name = 'David';,1.0,2000,1,0,,6,True,0.0004997501249375312,SELECT
86,SELECT COUNT(*) FROM employees WHERE first_name = 'John';,3.0,2000,1,0,,6,True,0.0004997501249375312,SELECT
87,"SELECT * FROM employees WHERE emp_no IN (601, 602, 603, 604, 605);",1.0,5,5,0,PRIMARY,1,True,0.8333333333333334,SELECT
88,"SELECT * FROM employees WHERE emp_no IN (1401, 1402, 1403, 1404, 1405);",1.0,5,5,0,PRIMARY,1,True,0.8333333333333334,SELECT
89,SELECT * FROM salaries WHERE to_date > '2024-01-01';,6.0,2000,1110,0,,6,True,0.5547226386806596,SELECT
90,SELECT * FROM employees WHERE last_name LIKE '%son';,3.0,2000,0,0,,6,True,0.0,SELECT
91,SELECT * FROM employees WHERE first_name LIKE 'K%' AND emp_no > 503;,3.0,1999,61,0,PRIMARY,1,True,0.0305,SELECT
92,SELECT * FROM employees WHERE hire_date > '2022-01-01' ORDER BY last_name;,14.0,0,1406,0,,1,True,1406.0,SELECT
93,"SELECT emp_no, MAX(salary) FROM salaries GROUP BY emp_no;",10.0,0,2000,0,,1,False,2000.0,SELECT
94,SELECT * FROM employees WHERE first_name = 'Thomas' AND last_name = 'Miller';,2.0,2000,0,0,,6,True,0.0,SELECT
95,SELECT * FROM salaries WHERE salary BETWEEN 12000 AND 18000;,4.0,2000,590,0,,6,True,0.29485257371314344,SELECT
96,"SELECT e.first_name, e.last_name, s.salary FROM employees e JOIN salaries s ON e.emp_no = s.emp_no ORDER BY s.salary DESC;",16.0,0,2000,1,,3,False,2000.0,SELECT
97,SELECT * FROM employees WHERE first_name = 'Nancy' OR last_name = 'Anderson';,2.0,2000,0,0,,6,True,0.0,SELECT
98,SELECT * FROM employees WHERE emp_no = 777;,1.0,1,1,0,PRIMARY,1,True,0.5,SELECT
99,SELECT * FROM employees WHERE emp_no = 888;,1.0,1,1,0,PRIMARY,1,True,0.5,SELECT
100,SELECT * FROM employees WHERE emp_no = 1234;,1.0,1,1,0,PRIMARY,1,True,0.5,SELECT
